,checking_account_status,duration_months,credit_history,purpose,amount,savings_account_status,present_employment_since,installment_rate,other_debtors,present_residence_since,property,age_years,other_installment_plans,housing,num_existing_credits_this_bank,job,num_dependants,telephone,foreign_worker,good_or_bad,personal_status,gender,present_employment_since_numeric,good_loan
403,No account,14,delay in paying off in the past,car (new),802,<100,1-4 yrs,4,none,2,car or other,27,none,rent,2,unskilled - resident,1,none,yes,good,single,male,2,1
404,0-200,18,delay in paying off in the past,car (new),2899,unknown/no savings account,>7 yrs,4,none,4,car or other,43,none,rent,1,skilled employee / official,2,none,yes,good,single,male,4,1
405,0-200,24,existing credits paid back duly till now,radio/television,2039,<100,<1 yr,1,none,1,savings agreement/life insurance,22,none,rent,1,skilled employee / official,1,"yes, registered",yes,bad,married/widowed,male,1,0
406,No account,24,critical account/other credits existing (not at this bank),car (used),2197,unknown/no savings account,4-7 yrs,4,none,4,car or other,43,none,rent,2,skilled employee / official,2,"yes, registered",yes,good,single,male,3,1
407,<0,15,existing credits paid back duly till now,radio/television,1053,<100,<1 yr,4,none,2,real estate,27,none,rent,1,skilled employee / official,1,none,no,good,married/widowed,male,1,1
408,No account,24,existing credits paid back duly till now,radio/television,3235,500-1000,>7 yrs,3,none,2,car or other,26,none,rent,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,good,divorced/separated,male,4,1
409,>=200,12,critical account/other credits existing (not at this bank),car (new),939,500-1000,4-7 yrs,4,none,2,real estate,28,none,rent,3,skilled employee / official,1,"yes, registered",yes,bad,married/widowed,male,3,0
410,0-200,24,existing credits paid back duly till now,radio/television,1967,<100,>7 yrs,4,none,4,car or other,20,none,rent,1,skilled employee / official,1,"yes, registered",yes,good,divorced/separated/married,female,4,1
411,No account,33,critical account/other credits existing (not at this bank),car (used),7253,<100,4-7 yrs,3,none,2,car or other,35,none,rent,2,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,good,single,male,3,1
412,No account,12,critical account/other credits existing (not at this bank),business,2292,<100,unemployed,4,none,2,car or other,42,stores,rent,2,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,bad,single,male,0,0
413,No account,10,existing credits paid back duly till now,car (new),1597,500-1000,1-4 yrs,3,none,2,unknown/no property,40,none,own,1,unskilled - resident,2,none,no,good,single,male,2,1
414,<0,24,existing credits paid back duly till now,car (new),1381,unknown/no savings account,1-4 yrs,4,none,2,savings agreement/life insurance,35,none,rent,1,skilled employee / official,1,none,yes,bad,divorced/separated/married,female,2,0
415,No account,36,critical account/other credits existing (not at this bank),car (used),5842,<100,>7 yrs,2,none,2,savings agreement/life insurance,35,none,rent,2,skilled employee / official,2,"yes, registered",yes,good,single,male,4,1
416,<0,12,existing credits paid back duly till now,car (new),2579,<100,<1 yr,4,none,1,real estate,33,none,rent,1,unskilled - resident,2,none,yes,bad,single,male,1,0
417,<0,18,delay in paying off in the past,education,8471,unknown/no savings account,1-4 yrs,1,none,2,car or other,23,none,own,2,skilled employee / official,1,"yes, registered",yes,good,divorced/separated/married,female,2,1
418,No account,21,existing credits paid back duly till now,car (new),2782,500-1000,4-7 yrs,1,none,2,car or other,31,bank,rent,1,management/ self-employed/highly qualified employee/ officer,1,none,yes,good,divorced/separated/married,female,3,1
419,0-200,18,existing credits paid back duly till now,car (new),1042,unknown/no savings account,1-4 yrs,4,none,2,savings agreement/life insurance,33,none,rent,1,skilled employee / official,1,none,yes,bad,divorced/separated/married,female,2,0
420,No account,15,existing credits paid back duly till now,car (new),3186,>=1000,4-7 yrs,2,none,3,car or other,20,none,own,1,skilled employee / official,1,none,yes,good,divorced/separated/married,female,3,1
421,0-200,12,existing credits paid back duly till now,car (used),2028,unknown/no savings account,1-4 yrs,4,none,2,car or other,30,none,rent,1,skilled employee / official,1,none,yes,good,single,male,2,1
422,0-200,12,critical account/other credits existing (not at this bank),car (new),958,<100,4-7 yrs,2,none,3,real estate,47,none,rent,2,unskilled - resident,2,none,yes,good,single,male,3,1
423,No account,21,delay in paying off in the past,furniture/equipment,1591,100-500,4-7 yrs,4,none,3,real estate,34,none,rent,2,management/ self-employed/highly qualified employee/ officer,1,none,yes,good,single,male,3,1
424,0-200,12,existing credits paid back duly till now,furniture/equipment,2762,unknown/no savings account,>7 yrs,1,none,2,savings agreement/life insurance,25,bank,rent,1,skilled employee / official,1,"yes, registered",yes,bad,divorced/separated/married,female,4,0
425,0-200,18,existing credits paid back duly till now,car (used),2779,<100,1-4 yrs,1,none,3,car or other,21,none,own,1,skilled employee / official,1,"yes, registered",yes,good,married/widowed,male,2,1
426,No account,28,critical account/other credits existing (not at this bank),radio/television,2743,<100,>7 yrs,4,none,2,car or other,29,none,rent,2,skilled employee / official,1,none,yes,good,single,male,4,1
427,No account,18,critical account/other credits existing (not at this bank),radio/television,1149,>=1000,1-4 yrs,4,none,3,real estate,46,none,rent,2,skilled employee / official,1,none,yes,good,single,male,2,1
428,No account,9,existing credits paid back duly till now,furniture/equipment,1313,<100,>7 yrs,1,none,4,car or other,20,none,rent,1,skilled employee / official,1,none,yes,good,single,male,4,1
429,<0,18,critical account/other credits existing (not at this bank),repairs,1190,<100,unemployed,2,none,4,unknown/no property,55,none,free,3,unemployed/ unskilled - non-resident,2,none,yes,bad,divorced/separated/married,female,0,0
430,No account,5,existing credits paid back duly till now,business,3448,<100,4-7 yrs,1,none,4,real estate,74,none,rent,1,unskilled - resident,1,none,yes,good,single,male,3,1
431,0-200,24,existing credits paid back duly till now,others,11328,<100,1-4 yrs,2,co-applicant,3,car or other,29,bank,rent,2,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,bad,single,male,2,0
432,<0,6,critical account/other credits existing (not at this bank),furniture/equipment,1872,<100,unemployed,4,none,4,unknown/no property,36,none,free,3,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,good,single,male,0,1
433,No account,24,critical account/other credits existing (not at this bank),repairs,2058,<100,1-4 yrs,4,none,2,real estate,33,none,rent,2,skilled employee / official,1,"yes, registered",yes,good,divorced/separated,male,2,1
434,<0,9,existing credits paid back duly till now,furniture/equipment,2136,<100,1-4 yrs,3,none,2,real estate,25,none,rent,1,skilled employee / official,1,none,yes,good,single,male,2,1
435,0-200,12,existing credits paid back duly till now,radio/television,1484,unknown/no savings account,1-4 yrs,2,none,1,real estate,25,none,rent,1,skilled employee / official,1,"yes, registered",yes,bad,married/widowed,male,2,0
436,No account,6,existing credits paid back duly till now,repairs,660,500-1000,4-7 yrs,2,none,4,real estate,23,none,own,1,unskilled - resident,1,none,yes,good,married/widowed,male,3,1
437,No account,24,critical account/other credits existing (not at this bank),car (new),1287,>=1000,>7 yrs,4,none,4,real estate,37,none,rent,2,skilled employee / official,1,"yes, registered",yes,good,divorced/separated/married,female,4,1
438,<0,42,critical account/other credits existing (not at this bank),repairs,3394,<100,unemployed,4,co-applicant,4,car or other,65,none,rent,2,unemployed/ unskilled - non-resident,1,none,yes,good,single,male,0,1
439,>=200,12,all credits at this bank paid back duly,business,609,<100,<1 yr,4,none,1,real estate,26,none,rent,1,unemployed/ unskilled - non-resident,1,none,yes,bad,divorced/separated/married,female,1,0
440,No account,12,existing credits paid back duly till now,car (new),1884,<100,>7 yrs,4,none,4,car or other,39,none,rent,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,good,single,male,4,1
441,<0,12,existing credits paid back duly till now,furniture/equipment,1620,<100,1-4 yrs,2,co-applicant,3,savings agreement/life insurance,30,none,rent,1,skilled employee / official,1,none,yes,good,divorced/separated/married,female,2,1
442,0-200,20,delay in paying off in the past,others,2629,<100,1-4 yrs,2,none,3,car or other,29,bank,rent,2,skilled employee / official,1,"yes, registered",yes,good,single,male,2,1
443,No account,12,existing credits paid back duly till now,education,719,<100,>7 yrs,4,none,4,car or other,41,bank,rent,1,unskilled - resident,2,none,yes,bad,single,male,4,0
444,0-200,48,critical account/other credits existing (not at this bank),furniture/equipment,5096,<100,1-4 yrs,2,none,3,car or other,30,none,rent,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,bad,divorced/separated/married,female,2,0
445,No account,9,critical account/other credits existing (not at this bank),education,1244,unknown/no savings account,>7 yrs,4,none,4,savings agreement/life insurance,41,none,own,2,unskilled - resident,1,none,yes,good,divorced/separated/married,female,4,1
446,<0,36,existing credits paid back duly till now,car (new),1842,<100,<1 yr,4,none,4,car or other,34,none,rent,1,skilled employee / official,1,"yes, registered",yes,bad,divorced/separated/married,female,1,0
447,0-200,7,existing credits paid back duly till now,radio/television,2576,<100,1-4 yrs,2,guarantor,2,real estate,35,none,rent,1,skilled employee / official,1,none,yes,good,single,male,2,1
448,>=200,12,existing credits paid back duly till now,furniture/equipment,1424,unknown/no savings account,>7 yrs,3,none,4,real estate,55,none,rent,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,good,divorced/separated/married,female,4,1
449,0-200,15,delay in paying off in the past,repairs,1512,>=1000,1-4 yrs,3,none,3,savings agreement/life insurance,61,stores,rent,2,skilled employee / official,1,none,yes,bad,married/widowed,male,2,0
450,No account,36,critical account/other credits existing (not at this bank),car (used),11054,unknown/no savings account,1-4 yrs,4,none,2,car or other,30,none,rent,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,good,single,male,2,1
451,No account,6,existing credits paid back duly till now,radio/television,518,<100,1-4 yrs,3,none,1,real estate,29,none,rent,1,skilled employee / official,1,none,yes,good,divorced/separated/married,female,2,1
452,No account,12,no credits taken / paid back duly,furniture/equipment,2759,<100,>7 yrs,2,none,4,savings agreement/life insurance,34,none,rent,2,skilled employee / official,1,none,yes,good,single,male,4,1
453,No account,24,existing credits paid back duly till now,car (used),2670,<100,>7 yrs,4,none,4,car or other,35,none,rent,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,good,single,male,4,1
454,<0,24,existing credits paid back duly till now,car (new),4817,<100,4-7 yrs,2,co-applicant,3,savings agreement/life insurance,31,none,rent,1,skilled employee / official,1,"yes, registered",yes,bad,single,male,3,0
455,No account,24,existing credits paid back duly till now,car (used),2679,<100,<1 yr,4,none,1,unknown/no property,29,none,rent,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered",yes,good,divorced/separated/married,female,1,1
456,<0,11,critical account/other credits existing (not at this bank),car (new),3905,<100,1-4 yrs,2,none,2,real estate,36,none,own,2,skilled employee / official,2,none,yes,good,single,male,2,1
457,<0,12,existing credits paid back duly till now,car (used),3386,<100,>7 yrs,3,none,4,unknown/no property,35,none,free,1,skilled employee / official,1,"yes, registered",yes,bad,single,male,4,0
458,<0,6,existing credits paid back duly till now,domestic appliances,343,<100,<1 yr,4,none,1,real estate,27,none,rent,1,skilled employee / official,1,none,yes,good,divorced/separated/married,female,1,1
459,No account,18,existing credits paid back duly till now,radio/television,4594,<100,<1 yr,3,none,2,car or other,32,none,rent,1,skilled employee / official,1,"yes, registered",yes,good,single,male,1,1
460,<0,36,existing credits paid back duly till now,furniture/equipment,3620,<100,1-4 yrs,1,guarantor,2,savings agreement/life insurance,37,none,rent,1,skilled employee / official,2,none,yes,good,single,male,2,1
461,<0,15,existing credits paid back duly till now,car (new),1721,<100,<1 yr,2,none,3,real estate,36,none,rent,1,skilled employee / official,1,none,yes,good,single,male,1,1
462,0-200,12,existing credits paid back duly till now,furniture/equipment,3017,<100,<1 yr,3,none,1,real estate,34,none,own,1,management/ self-employed/highly qualified employee/ officer,1,none,yes,good,divorced/separated/married,female,1,1
